"File"	"Id"	"Bg"	"Loc"
"scenes"	"s_world_zhangjie"	"img_train.png"	"站台 · 张杰"
"scenes"	"s_world_rain"	"img_train.png"	"站台 · 蕾恩"
"scenes"	"s_world_kaplan"	"img_redqueen.png"	"机房走廊 · 卡普兰"
"scenes"	"s_world_yihao"	"img_corridor.png"	"B区走廊 · 一号"
"scenes"	"s_world_back"	""	""
"scenes"	"s_office"	"img_office.png"	"现实世界 · 深夜办公室"
"scenes"	"s_office_phone"	"img_office.png"	"现实世界 · 深夜办公室"
"scenes"	"s_yes"	"img_office.png"	"？？？？"
"scenes"	"s_nexus"	"img_nexus.png"	"主神空间 · 半圆形广场"
"scenes"	"s_nexus2"	"img_nexus.png"	"主神空间 · 半圆形广场"
"scenes"	"s_weapon"	"img_nexus.png"	"主神空间 · 武器架"
"scenes"	"s_warning"	"img_nexus.png"	"主神空间 · 半圆形广场"
"scenes"	"s_nexus_god"	"img_nexus.png"	"主神空间 · 中央光柱"
"scenes"	"s_nexus_exchange"	"img_nexus.png"	"主神空间 · 兑换光球"
"scenes"	"s_nexus_exchange_gene"	"img_nexus.png"	"主神空间 · 基因进化光球"
"scenes"	"s_nexus_exchange_blood"	"img_nexus.png"	"主神空间 · 高等血统光球"
"scenes"	"s_nexus_exchange_xiu"	"img_nexus.png"	"主神空间 · 真元光球"
"scenes"	"s_nexus_exchange_tech"	"img_nexus.png"	"主神空间 · 科技侧光球"
"scenes"	"s_nexus_exchange_skill"	"img_nexus.png"	"主神空间 · 技能秘藏"
"scenes"	"s_nexus_skcat_xiu"	"img_nexus.png"	"技能 · 修真"
"scenes"	"s_nexus_skcat_ww"	"img_nexus.png"	"技能 · 武道"
"scenes"	"s_nexus_skcat_gene"	"img_nexus.png"	"技能 · 基因"
"scenes"	"s_nexus_skcat_blood"	"img_nexus.png"	"技能 · 血统"
"scenes"	"s_nexus_skcat_holy"	"img_nexus.png"	"技能 · 圣光"
"scenes"	"s_nexus_skcat_tech"	"img_nexus.png"	"技能 · 科技"
"scenes"	"s_nexus_skcat_nt"	"img_nexus.png"	"技能 · 超能NT"
"scenes"	"s_nexus_skcat_meme"	"img_nexus.png"	"技能 · 模因"
"scenes"	"s_nexus_skcat_util"	"img_nexus.png"	"技能 · 通用"
"scenes"	"s_nexus_exchange_shop"	"img_nexus.png"	"主神空间 · 道具铺"
"scenes"	"s_nexus_exchange_craft"	"img_nexus.png"	"主神空间 · 合成工坊"
"scenes"	"s_nexus_exchange_done"	"img_nexus.png"	"主神空间 · 兑换光球"
"scenes"	"s_nexus_exchange_fail"	"img_nexus.png"	"主神空间 · 兑换光球"
"scenes"	"s_nexus_resurrection"	"img_nexus.png"	"主神空间 · 复活祭坛"
"scenes"	"s_nexus_resurrect_done"	"img_nexus.png"	"主神空间 · 复活祭坛"
"scenes"	"s_nexus_resurrect_none"	"img_nexus.png"	"主神空间 · 复活祭坛"
"scenes"	"s_nexus_resurrect_fail"	"img_nexus.png"	"主神空间 · 复活祭坛"
"scenes"	"s_nexus_zhangjie"	"img_nexus.png"	"主神空间 · 半圆广场 · 张杰"
"scenes"	"s_nexus_zhengzha"	"img_nexus.png"	"主神空间 · 广场东侧 · 郑吒"
"scenes"	"s_nexus_chuxuan"	"img_nexus.png"	"主神空间 · 广场北侧 · 楚轩"
"scenes"	"s_nexus_zhanlan"	"img_nexus.png"	"主神空间 · 广场西南 · 詹岚"
"scenes"	"s_nexus_zhaoyingkong"	"img_nexus.png"	"主神空间 · 广场南缘 · 赵樱空"
"scenes"	"s_nexus_new_cycle"	"img_nexus.png"	"主神空间 · 中央光柱"
"scenes"	"s_nexus_briefing"	"img_nexus.png"	"主神空间 · 中央光柱 · 登记台"
"scenes"	"s_train"	"img_train.png"	"《生化危机》 · 地下列车"
"scenes"	"s_train_rain"	"img_train.png"	"《生化危机》 · 地下列车"
"scenes"	"s_mission"	"img_train.png"	"《生化危机》 · 废弃站台"
"scenes"	"s_corridor"	"img_corridor.png"	"蜂巢 · B区走廊"
"scenes"	"s_observe_lab"	"img_corridor.png"	"蜂巢 · B区走廊"
"scenes"	"s_bhall"	"img_corridor.png"	"蜂巢 · B餐厅"
"scenes"	"s_fight_zombie1_save"	"img_corridor.png"	"蜂巢 · B餐厅"
"scenes"	"s_fight_zombie1_far"	"img_corridor.png"	"蜂巢 · B餐厅"
"scenes"	"s_b_sterile_lab"	"img_sterile_lab.png"	"实验层 · 白色无菌实验室"
"scenes"	"s_b_sterile_note"	"img_sterile_lab.png"	"实验层 · 无菌实验室"
"scenes"	"s_b_sterile_petri"	"img_sterile_lab.png"	"实验层 · 无菌实验室"
"scenes"	"s_fight_b_guard"	"img_sterile_lab.png"	"实验层 · 无菌实验室"
"scenes"	"s_b_sterile_after"	"img_sterile_lab.png"	"实验层 · 无菌实验室"
"scenes"	"s_b_sterile_leave"	"img_sterile_lab.png"	"实验层 · 无菌实验室"
"scenes"	"s_b_kitchen_after"	"img_b_kitchen.png"	"实验层 · 厨房"
"scenes"	"s_b_kitchen_loot"	"img_b_kitchen.png"	"实验层 · 冷藏库"
"scenes"	"s_virus_vault"	"img_virus_vault.png"	"实验层 · 病毒样本库"
"scenes"	"s_research_terminal"	"img_virus_vault.png"	"实验层 · 样本库"
"scenes"	"s_research_log"	"img_virus_vault.png"	"实验层 · 样本库"
"scenes"	"s_virus_safe"	"img_virus_vault.png"	"实验层 · 样本库保险柜"
"scenes"	"s_virus_sample_got"	"img_virus_vault.png"	"实验层 · 样本库"
"scenes"	"s_vault_alarm"	"img_virus_vault.png"	"实验层 · 样本库"
"scenes"	"s_fight_mut_guard"	"img_virus_vault.png"	"实验层 · 样本库"
"scenes"	"s_virus_vault_after"	"img_virus_vault.png"	"实验层 · 样本库"
"scenes"	"s_isolation_room"	"img_isolation.png"	"实验层 · 隔离观察室"
"scenes"	"s_fight_licker_larva"	"img_isolation.png"	"实验层 · 隔离观察室"
"scenes"	"s_isolation_after"	"img_isolation.png"	"实验层 · 隔离观察室"
"scenes"	"s_iso_flee"	"img_isolation.png"	"实验层 · 隔离观察室"
"scenes"	"s_after_zombie1_save"	"img_corridor.png"	"蜂巢 · B餐厅"
"scenes"	"s_after_zombie1_far"	"img_corridor.png"	"蜂巢 · B餐厅"
"scenes"	"s_find_adrenaline"	"img_corridor.png"	"蜂巢 · B餐厅厨房"
"scenes"	"s_to_redqueen"	"img_redqueen.png"	"蜂巢 · 中央机房"
